filename,width,height,class,xmin,ymin,xmax,ymax
WhatsApp-Image-2024-06-14-at-20-25-53_jpeg.rf.16ff44e3a14d0b845d3ce73cb5f70185.jpg,1920,1080,window,309,112,1668,958
WhatsApp-Image-2024-06-14-at-20-25-53_jpeg.rf.16ff44e3a14d0b845d3ce73cb5f70185.jpg,1920,1080,window,303,115,1671,985
WhatsApp-Image-2024-06-14-at-21-03-54_jpeg.rf.1c9648acdae09911df9a18e570522969.jpg,1920,1080,window,57,49,1833,907
17_png.rf.1f31466d7c560e4f14e765b157176da7.jpg,1920,1080,window,545,121,1675,829
12_png.rf.09ed9ec551dcf6fefc3a62c5464e61dd.jpg,1920,1080,window,21,288,1151,1009
7_png.rf.04f25399e664a5979ccf28b48ae510fe.jpg,1920,1080,window,9,3,1136,891
Screenshot-2024-06-14-at-9-46-39-PM-10-01-54-PM_png.rf.0d50db3a63d98b52ef8a733f50ed0b57.jpg,1920,1080,window,139,201,1048,966
7_png.rf.1eb2e6df9c2afed11a6dab6c580c6f39.jpg,1920,1080,window,9,3,1136,891
Screenshot-2024-06-14-at-6-31-59-PM_png.rf.1690042fefb7837abef4ff625578d94e.jpg,1920,1080,window,163,315,1016,1017
WhatsApp-Image-2024-06-14-at-21-11-26_jpeg.rf.0f0acfad9e7a44b6d159087e19b9380f.jpg,1920,1080,window,77,98,1893,1009
Screenshot-2024-06-14-at-9-46-46-PM_png.rf.08cd1a0251374f0810946e91c165e6ba.jpg,1920,1080,window,621,98,1535,849
Screenshot-2024-06-14-at-6-32-59-PM_png.rf.0590e7e1a34e01b9c14a34e19dfbfa3b.jpg,1920,1080,window,180,106,1059,914
6_png.rf.15576d2a40432f41f6ceeab8b13fa0c1.jpg,1920,1080,window,762,31,1900,919
Screenshot-2024-06-15-at-12-02-32-PM_png.rf.0cff801f6d3a3d4caf0cebef89e598c5.jpg,1920,1080,window,148,78,1217,1006
Screenshot-2024-06-15-at-5-42-51-PM_png.rf.203e49420526ad8f34a6912b3dfe32f7.jpg,1920,1080,window,529,112,1338,848
Screenshot-2024-06-14-at-9-47-19-PM_png.rf.1a5c21d93cdc118493b5c980541246a7.jpg,1920,1080,window,234,186,1158,846
Screenshot-2024-06-14-at-9-47-18-PM-10-01-54-PM_png.rf.049c6225d4351f02e366c3fc7b077c88.jpg,1920,1080,window,241,334,1171,1005
Screenshot-2024-06-14-at-6-32-54-PM_png.rf.081db5dc20c16b005593f3e234caa10f.jpg,1920,1080,window,714,191,1587,986
11_png.rf.231e6b923344cc150549fc8ab10a4510.jpg,1920,1080,window,791,1,1920,706
Screenshot-2024-06-15-at-5-42-51-PM_png.rf.227d57acec94269c00a22b77051bf1e3.jpg,1920,1080,window,529,112,1338,848
1_png.rf.26f1b985923ab4616fefbcfe7b00fd60.jpg,1920,1080,window,661,0,1774,888
WhatsApp-Image-2024-06-14-at-21-16-28_jpeg.rf.2b60004a094e33fbcf1c186c5fcdced8.jpg,1920,1080,window,2,2,1920,1025
4_png.rf.319993070cc401bdc1a53f795b45bd40.jpg,1920,1080,window,23,10,1156,904
Screenshot-2024-06-14-at-6-32-59-PM_png.rf.442e3628663a75bde42b66126dbdeda5.jpg,1920,1080,window,180,106,1059,914
14_png.rf.220368d2f6cb1b1bc466f2c1a71091a0.jpg,1920,1080,window,774,6,1895,1015
WhatsApp-Image-2024-06-14-at-20-35-07_jpeg.rf.3fddcccf7fede8442db1b332712f4173.jpg,1920,1080,window,649,1,1920,709
WhatsApp-Image-2024-06-14-at-21-05-56_jpeg.rf.3d079e0eacb881a1302c69d5c5d3051c.jpg,1920,1080,window,51,61,1839,901
WhatsApp-Image-2024-06-14-at-21-03-54_jpeg.rf.299f12d3f5a0bd4d72cf453ee5f779da.jpg,1920,1080,window,57,49,1833,907
Screenshot-2024-06-14-at-6-32-44-PM_png.rf.4708e5786f8df18e8fc4f27db9dd2743.jpg,1920,1080,window,354,142,1585,944
3_png.rf.307758fa72f2c1823d2a7fe2fa8bd7d0.jpg,1920,1080,window,767,16,1896,924
Screenshot-2024-06-15-at-5-41-35-PM_png.rf.3af1a6fc105788a408539d5fa9973082.jpg,1920,1080,window,1015,93,1668,988
Screenshot-2024-06-14-at-9-47-18-PM-10-01-54-PM_png.rf.3ed4782146de6e3e2f92c99b829479c5.jpg,1920,1080,window,241,334,1171,1005
WhatsApp-Image-2024-06-14-at-21-11-26_jpeg.rf.3d38282e71201d63b299b32be5c1e9b9.jpg,1920,1080,window,77,98,1893,1009
Screenshot-2024-06-14-at-9-47-03-PM_png.rf.453ecb6aaeac4c234c5dfb78e22edc9c.jpg,1920,1080,window,163,164,923,1012
20_png.rf.3663e6c2b7c28562ef576d3ef8df0767.jpg,1920,1080,window,0,0,1920,1016
11_png.rf.32168601569723d4d230da64f30a9c12.jpg,1920,1080,window,791,1,1920,706
Screenshot-2024-06-14-at-9-47-50-PM-10-01-54-PM_png.rf.3b5df73823ea15d9d0544834141e4ed6.jpg,1920,1080,window,295,79,1746,996
Screenshot-2024-06-15-at-5-41-26-PM_png.rf.4bf29a2ce132cd1d92a476e18a52c62f.jpg,1920,1080,window,707,96,1675,961
WhatsApp-Image-2024-06-14-at-21-02-58_jpeg.rf.4bb35829ccceb3b6d9c5d577dd8b8194.jpg,1920,1080,window,62,54,1407,763
Screenshot-2024-06-15-at-5-41-35-PM_png.rf.31cfd1d2494f4972c3dc1748c7ecc11a.jpg,1920,1080,window,1015,93,1668,988
18_png.rf.42fbbda573327e90629e4f705c0113ec.jpg,1920,1080,window,12,1,1139,712
WhatsApp-Image-2024-06-14-at-20-09-54_jpeg.rf.396f47cf1629fe9c058a003c94a3a6b6.jpg,1920,1080,window,319,108,1667,918
Screenshot-2024-06-15-at-5-43-07-PM_png.rf.2ff2e60bdb19f4b3a03577fbef613240.jpg,1920,1080,window,525,119,1398,1053
Screenshot-2024-06-14-at-9-46-39-PM-10-01-54-PM_png.rf.471611a335377f9e28003edd024ba7e0.jpg,1920,1080,window,139,201,1048,966
16_png.rf.3c80871c33bcefbf514b4173ddbd8309.jpg,1920,1080,window,2,1,1920,1008
Screenshot-2024-06-14-at-9-47-00-PM-10-01-54-PM_png.rf.5343b2dd8d624912a0d1b64e8514c59a.jpg,1920,1080,window,452,119,1227,964
Screenshot-2024-06-15-at-5-41-59-PM_png.rf.65030f1aded1996010778926dfbbde36.jpg,1920,1080,window,746,52,1721,761
Screenshot-2024-06-14-at-6-31-59-PM_png.rf.5ade9be0c8ef273d1be85c4f251dbc47.jpg,1920,1080,window,163,315,1016,1017
13_png.rf.4c58fb390f766eaf382b80fcf7161377.jpg,1920,1080,window,773,293,1899,998
WhatsApp-Image-2024-06-14-at-20-37-28_jpeg.rf.62e40151eb712c08f31c49eab56942a5.jpg,1920,1080,window,0,1,1302,1021
Screenshot-2024-06-15-at-5-41-59-PM_png.rf.612b6bebb66000dcaa356dcd21b8944f.jpg,1920,1080,window,746,52,1721,761
13_png.rf.4ccbe5bbdd734b8373b43164cb442fe3.jpg,1920,1080,window,773,293,1899,998
Screenshot-2024-06-14-at-9-47-08-PM-10-01-54-PM_png.rf.4cb801d75577b95f7255d5fc28e118d6.jpg,1920,1080,window,938,243,1710,908
18_png.rf.5357e58021ea960231b6972d714288a6.jpg,1920,1080,window,12,1,1139,712
Screenshot-2024-06-14-at-9-46-42-PM_png.rf.63605ed467b63500acf909a1ce94fe94.jpg,1920,1080,window,793,268,1702,1002
15_png.rf.5d1e53e4aa997487e10afe042af1200a.jpg,1920,1080,window,5,0,1911,1022
Screenshot-2024-06-14-at-9-46-39-PM-10-01-54-PM_png.rf.5c4b74f7ee38e5b843ccb8cb2debf176.jpg,1920,1080,window,139,201,1048,966
Screenshot-2024-06-15-at-5-42-51-PM_png.rf.58092471d33c4b17f53fc8b87f37a1db.jpg,1920,1080,window,529,112,1338,848
WhatsApp-Image-2024-06-14-at-20-37-28_jpeg.rf.51ffbfee4ec796f2e2a57535ba99f00f.jpg,1920,1080,window,0,1,1302,1021
19_png.rf.57dff13ebd88e6d9a8d729c04d41fabe.jpg,1920,1080,window,965,0,1920,1026
Screenshot-2024-06-14-at-9-47-40-PM-10-01-54-PM_png.rf.57231ff4db30edd1fbd66c19e723883a.jpg,1920,1080,window,209,164,1648,1032
Screenshot-2024-06-14-at-6-32-12-PM_png.rf.56cb87fef1f841574d22bc9cb9c1b6d6.jpg,1920,1080,window,854,41,1697,1029
14_png.rf.68077f1f7546997edcd245065f9bde94.jpg,1920,1080,window,774,6,1895,1015
Screenshot-2024-06-14-at-9-47-23-PM-10-01-54-PM_png.rf.4c8ce9bf2c5218921cffa03bbf849e7b.jpg,1920,1080,window,706,120,1606,793
Screenshot-2024-06-14-at-9-46-13-PM_png.rf.623e97c09b690263216d215fdd7c5c5c.jpg,1920,1080,window,990,28,1744,1008
Screenshot-2024-06-15-at-5-41-35-PM_png.rf.6ab009bf4f93e206c59411e5899a2961.jpg,1920,1080,window,1015,93,1668,988
Screenshot-2024-06-14-at-9-47-03-PM_png.rf.6b66f78d86d3602c02eb77a97b744c95.jpg,1920,1080,window,163,164,923,1012
Screenshot-2024-06-14-at-9-46-09-PM_png.rf.66b938815c85cf894e231838638544bc.jpg,1920,1080,window,720,150,1742,1015
Screenshot-2024-06-15-at-5-41-48-PM_png.rf.67d92e0ee6c0889de3a1206efb373f60.jpg,1920,1080,window,406,49,1321,1029
9_png.rf.605b392ed0bcbbf8d321de8a47b7e667.jpg,1920,1080,window,748,6,1864,888
WhatsApp-Image-2024-06-14-at-21-16-28_jpeg.rf.6e20a8b434587a3a290cac6b43ca601f.jpg,1920,1080,window,2,2,1920,1025
Screenshot-2024-06-15-at-5-42-05-PM_png.rf.79f413b3798f38b7e04e65c6876ff973.jpg,1920,1080,window,338,45,1321,952
Screenshot-2024-06-14-at-9-47-50-PM-10-01-54-PM_png.rf.6ba1ae0cc9849a295ed91d2955b68e36.jpg,1920,1080,window,295,79,1746,996
Screenshot-2024-06-14-at-9-46-09-PM_png.rf.81f424abce2498e20a548b66a7c675ae.jpg,1920,1080,window,720,150,1742,1015
WhatsApp-Image-2024-06-14-at-21-02-58_jpeg.rf.791ee28ad503e8405b362058015e671d.jpg,1920,1080,window,62,54,1407,763
6_png.rf.735a19a12d19ae6fda5119b89133c42b.jpg,1920,1080,window,762,31,1900,919
Screenshot-2024-06-14-at-9-47-23-PM-10-01-54-PM_png.rf.7998b9dfcfb1e28a3b64160a3fef233a.jpg,1920,1080,window,706,120,1606,793
Screenshot-2024-06-14-at-9-47-50-PM-10-01-54-PM_png.rf.7c5470f52e8abeefd7c2e0c0a3885f58.jpg,1920,1080,window,295,79,1746,996
20_png.rf.84b4f4f9f644231ffd43baa70e5c9b61.jpg,1920,1080,window,0,0,1920,1016
WhatsApp-Image-2024-06-14-at-20-35-19_jpeg.rf.823ef87c673e70ce04aeec4a49236831.jpg,1920,1080,window,0,313,1306,1016
WhatsApp-Image-2024-06-14-at-21-14-28_jpeg.rf.7161461560b6e573cb8e2325f9e38942.jpg,1920,1080,window,2,1,1780,1019
Screenshot-2024-06-14-at-9-47-03-PM_png.rf.7b01825f762b1c224faf3000ea2edcb9.jpg,1920,1080,window,163,164,923,1012
Screenshot-2024-06-14-at-6-32-06-PM_png.rf.8aa5f7138780a8a2ca3ee52a2d75f22d.jpg,1920,1080,window,438,316,1290,1026
4_png.rf.85bf55638deaa8a5b2f987274b564f36.jpg,1920,1080,window,23,10,1156,904
1_png.rf.82375c04f44db793ecd932521e3e7277.jpg,1920,1080,window,661,0,1774,888
Screenshot-2024-06-15-at-5-41-07-PM_png.rf.795b534dc7d5e59c151d382cba4f659c.jpg,1920,1080,window,475,103,1450,847
Screenshot-2024-06-14-at-9-47-19-PM_png.rf.598a1d5a70ec009f0f05b7c2ca5b5d0a.jpg,1920,1080,window,234,186,1158,846
2_png.rf.76958718cf770a87ff1b3f3bfd8e9a31.jpg,1920,1080,window,26,93,1158,998
Screenshot-2024-06-14-at-9-47-21-PM_png.rf.8c75310d73c2e7727a06eccaa99ee92e.jpg,1920,1080,window,705,127,1624,787
WhatsApp-Image-2024-06-14-at-20-09-54_jpeg.rf.8746131e9f0e5b94c956201732420294.jpg,1920,1080,window,319,108,1667,918
WhatsApp-Image-2024-06-14-at-20-35-07_jpeg.rf.6ef710639d926924f31b048984de021b.jpg,1920,1080,window,649,1,1920,709
WhatsApp-Image-2024-06-14-at-21-16-28_jpeg.rf.71745a73fef266f89d1de3f9cb686293.jpg,1920,1080,window,2,2,1920,1025
Screenshot-2024-06-14-at-9-47-00-PM-10-01-54-PM_png.rf.7b42eee4de37ac19f1184fc0cc82ebae.jpg,1920,1080,window,452,119,1227,964
